Alarm_Start,Alarm_End,Duration_Minutes
2022-01-23 04:45:00,2022-01-23 04:49:00,4.0
2022-01-31 11:40:00,2022-01-31 11:43:00,3.0
2022-01-31 13:47:00,2022-01-31 13:48:00,1.0
2022-02-02 12:52:00,2022-02-02 12:55:00,3.0
2022-02-11 19:00:00,2022-02-11 19:14:00,14.0
2022-02-17 09:30:00,2022-02-17 09:33:00,3.0
2022-02-19 16:18:00,2022-02-19 16:49:00,31.0
2022-02-23 11:09:00,2022-02-23 11:11:00,2.0
2022-03-06 11:50:00,2022-03-06 11:53:00,3.0
2022-03-15 10:04:00,2022-03-15 10:11:00,7.0
2022-03-15 13:03:00,2022-03-15 13:04:00,1.0
2022-03-16 09:26:00,2022-03-16 09:28:00,2.0
2022-03-16 11:23:00,2022-03-16 11:23:00,0.0
2022-03-16 14:02:00,2022-03-16 14:04:00,2.0
2022-04-13 09:51:00,2022-04-13 09:52:00,1.0
2022-04-14 13:10:00,2022-04-14 16:12:00,182.0
2022-04-14 16:14:00,2022-04-14 16:14:00,0.0
2022-05-02 10:01:00,2022-05-02 10:03:00,2.0
2022-05-19 10:23:00,2022-05-19 10:24:00,1.0
2022-05-23 12:59:00,2022-05-23 13:00:00,1.0
2022-05-23 13:31:00,2022-05-23 13:32:00,1.0
2022-05-23 13:35:00,2022-05-23 13:36:00,1.0
2022-05-23 13:49:00,2022-05-23 13:49:00,0.0
2022-05-23 13:53:00,2022-05-23 13:53:00,0.0
2022-05-23 13:56:00,2022-05-23 14:01:00,5.0
2022-05-23 14:12:00,2022-05-23 18:16:00,244.0
2022-05-28 13:06:00,2022-05-28 13:07:00,1.0
2022-05-28 13:55:00,2022-05-28 14:03:00,8.0
2022-05-30 13:13:00,2022-05-30 13:14:00,1.0
2022-05-30 13:27:00,2022-05-30 13:28:00,1.0
2022-05-30 13:30:00,2022-05-30 13:30:00,0.0
2022-05-30 13:33:00,2022-05-30 13:34:00,1.0
2022-05-30 13:37:00,2022-05-30 13:37:00,0.0
2022-05-30 13:39:00,2022-05-30 16:29:00,170.0
2022-05-30 16:32:00,2022-05-30 16:33:00,1.0
2022-05-30 16:36:00,2022-05-30 16:36:00,0.0
2022-05-30 16:39:00,2022-05-30 16:43:00,4.0
2022-05-30 16:45:00,2022-05-30 17:04:00,19.0
2022-05-30 17:06:00,2022-05-30 17:07:00,1.0
2022-05-30 17:09:00,2022-05-30 17:11:00,2.0
2022-05-31 12:52:00,2022-05-31 15:18:00,146.0
2022-05-31 15:21:00,2022-05-31 15:21:00,0.0
2022-05-31 15:24:00,2022-05-31 15:28:00,4.0
2022-05-31 15:30:00,2022-05-31 15:31:00,1.0
2022-05-31 15:33:00,2022-05-31 15:34:00,1.0
2022-05-31 15:37:00,2022-05-31 15:38:00,1.0
2022-05-31 15:40:00,2022-05-31 15:40:00,0.0
2022-05-31 15:43:00,2022-05-31 16:03:00,20.0
2022-06-01 13:58:00,2022-06-01 13:58:00,0.0
2022-06-01 14:01:00,2022-06-01 14:24:00,23.0
2022-06-01 14:26:00,2022-06-01 16:58:00,152.0
2022-06-02 13:49:00,2022-06-02 17:04:00,195.0
2022-06-02 17:07:00,2022-06-02 17:07:00,0.0
2022-06-02 17:27:00,2022-06-02 17:27:00,0.0
2022-06-02 17:30:00,2022-06-02 17:31:00,1.0
2022-06-02 17:33:00,2022-06-02 17:34:00,1.0
2022-06-02 17:37:00,2022-06-02 17:37:00,0.0
2022-06-02 19:59:00,2022-06-02 19:59:00,0.0
2022-06-03 11:41:00,2022-06-03 11:42:00,1.0
2022-06-03 11:44:00,2022-06-03 17:14:00,330.0
2022-06-04 11:33:00,2022-06-04 11:43:00,10.0
2022-06-04 11:47:00,2022-06-04 11:47:00,0.0
2022-06-04 11:49:00,2022-06-04 17:21:00,332.0
2022-06-05 11:26:00,2022-06-05 11:31:00,5.0
2022-06-05 11:44:00,2022-06-05 18:03:00,379.0
2022-06-06 10:13:00,2022-06-06 18:41:00,508.0
