Variable_1,Variable_2,Pearson_r,Abs_r,Type
03TI_1015.PV,03TI_1024.PV,0.9896,0.9896,Inter-Variable
03TIC_1023.PV,03TI_1024.PV,0.984,0.984,With Target
03TIC_1023.PV,03TI_1015.PV,0.9804,0.9804,With Target
03PIC_1023.PV,03TI_1015.PV,0.9796,0.9796,Inter-Variable
03PIC_1023.PV,03TI_1024.PV,0.9787,0.9787,Inter-Variable
02FI_1000.PV,03PDI_1020.PV,0.9759,0.9759,Inter-Variable
03TI_1002.PV,03TI_1005.PV,0.9654,0.9654,Inter-Variable
03PIC_1023.PV,03TIC_1023.PV,0.9654,0.9654,With Target
03TIC_1009.PV,03TI_1108.PV,0.9304,0.9304,Inter-Variable
02FI_1000.PV,03PDI_1077.PV,0.9022,0.9022,Inter-Variable
03PDI_1020.PV,03PDI_1077.PV,0.8628,0.8628,Inter-Variable
03PIC_1013.PV,03TI_1081.PV,0.8377,0.8377,Inter-Variable
