Alarm_Start,Alarm_End,Duration_Minutes,Gap_To_Next
2022-05-23 13:31:00,2022-05-23 13:32:00,1.0,3.0
2022-05-23 13:49:00,2022-05-23 13:49:00,0.0,4.0
2022-05-23 13:53:00,2022-05-23 13:53:00,0.0,3.0
2022-05-30 13:27:00,2022-05-30 13:28:00,1.0,2.0
2022-05-30 13:30:00,2022-05-30 13:30:00,0.0,3.0
2022-05-30 13:33:00,2022-05-30 13:34:00,1.0,3.0
2022-05-30 13:37:00,2022-05-30 13:37:00,0.0,2.0
2022-05-30 16:32:00,2022-05-30 16:33:00,1.0,3.0
2022-05-30 16:36:00,2022-05-30 16:36:00,0.0,3.0
2022-05-30 17:06:00,2022-05-30 17:07:00,1.0,2.0
2022-05-31 15:21:00,2022-05-31 15:21:00,0.0,3.0
2022-05-31 15:30:00,2022-05-31 15:31:00,1.0,2.0
2022-05-31 15:33:00,2022-05-31 15:34:00,1.0,3.0
2022-05-31 15:37:00,2022-05-31 15:38:00,1.0,2.0
2022-05-31 15:40:00,2022-05-31 15:40:00,0.0,3.0
2022-06-01 13:58:00,2022-06-01 13:58:00,0.0,3.0
2022-06-02 17:27:00,2022-06-02 17:27:00,0.0,3.0
2022-06-02 17:30:00,2022-06-02 17:31:00,1.0,2.0
2022-06-02 17:33:00,2022-06-02 17:34:00,1.0,3.0
2022-06-03 11:41:00,2022-06-03 11:42:00,1.0,2.0
2022-06-04 11:47:00,2022-06-04 11:47:00,0.0,2.0
2022-06-08 10:07:00,2022-06-08 10:08:00,1.0,2.0
2022-06-09 10:16:00,2022-06-09 10:16:00,0.0,2.0
2022-06-11 14:38:00,2022-06-11 14:38:00,0.0,3.0
2022-06-16 13:51:00,2022-06-16 13:51:00,0.0,2.0
2022-06-16 15:12:00,2022-06-16 15:12:00,0.0,4.0
2022-06-19 11:14:00,2022-06-19 11:14:00,0.0,3.0
2022-06-26 17:17:00,2022-06-26 17:18:00,1.0,3.0
2022-06-26 17:57:00,2022-06-26 17:58:00,1.0,2.0
2022-06-30 13:19:00,2022-06-30 13:20:00,1.0,2.0
2022-07-04 16:00:00,2022-07-04 16:00:00,0.0,3.0
2022-07-05 13:26:00,2022-07-05 13:26:00,0.0,3.0
2022-07-13 16:45:00,2022-07-13 16:45:00,0.0,4.0
2022-07-19 16:56:00,2022-07-19 16:57:00,1.0,2.0
2022-07-20 16:18:00,2022-07-20 16:19:00,1.0,2.0
2022-07-20 16:21:00,2022-07-20 16:22:00,1.0,5.0
2022-07-20 16:51:00,2022-07-20 16:52:00,1.0,3.0
2022-07-30 13:04:00,2022-07-30 13:04:00,0.0,5.0
2022-07-30 13:09:00,2022-07-30 13:09:00,0.0,3.0
2022-07-30 14:55:00,2022-07-30 14:55:00,0.0,3.0
2022-07-30 15:02:00,2022-07-30 15:03:00,1.0,3.0
2022-07-31 12:22:00,2022-07-31 12:22:00,0.0,3.0
2022-07-31 12:25:00,2022-07-31 12:25:00,0.0,2.0
2022-07-31 12:35:00,2022-07-31 12:36:00,1.0,3.0
2022-08-01 11:26:00,2022-08-01 11:27:00,1.0,2.0
2022-08-12 12:14:00,2022-08-12 12:15:00,1.0,2.0
2022-08-12 12:17:00,2022-08-12 12:18:00,1.0,2.0
2022-08-13 14:29:00,2022-08-13 14:29:00,0.0,4.0
2022-08-15 15:36:00,2022-08-15 15:36:00,0.0,2.0
2022-08-15 15:55:00,2022-08-15 15:56:00,1.0,2.0
2022-08-19 12:02:00,2022-08-19 12:02:00,0.0,5.0
2022-08-22 13:22:00,2022-08-22 13:22:00,0.0,2.0
2022-08-26 14:33:00,2022-08-26 14:33:00,0.0,3.0
2022-08-26 15:31:00,2022-08-26 15:31:00,0.0,3.0
2022-09-02 14:43:00,2022-09-02 14:43:00,0.0,2.0
2022-09-03 17:11:00,2022-09-03 17:11:00,0.0,4.0
2022-09-04 16:38:00,2022-09-04 16:38:00,0.0,2.0
2022-09-10 14:37:00,2022-09-10 14:37:00,0.0,3.0
2022-09-11 16:27:00,2022-09-11 16:27:00,0.0,3.0
2022-09-12 12:57:00,2022-09-12 12:58:00,1.0,3.0
2022-09-13 13:38:00,2022-09-13 13:38:00,0.0,3.0
2022-09-14 13:18:00,2022-09-14 13:19:00,1.0,2.0
2022-09-14 13:21:00,2022-09-14 13:22:00,1.0,2.0
2022-09-14 13:24:00,2022-09-14 13:25:00,1.0,2.0
2022-09-15 16:14:00,2022-09-15 16:14:00,0.0,3.0
2022-09-15 16:17:00,2022-09-15 16:18:00,1.0,2.0
2022-10-22 13:57:00,2022-10-22 13:57:00,0.0,2.0
2023-02-07 12:34:00,2023-02-07 12:35:00,1.0,3.0
2023-02-12 13:15:00,2023-02-12 13:15:00,0.0,4.0
2023-02-18 10:47:00,2023-02-18 10:48:00,1.0,3.0
2023-04-30 13:24:00,2023-04-30 13:24:00,0.0,4.0
2023-05-07 17:18:00,2023-05-07 17:18:00,0.0,3.0
2023-05-08 13:12:00,2023-05-08 13:13:00,1.0,5.0
2023-05-08 18:10:00,2023-05-08 18:11:00,1.0,2.0
2023-05-10 09:12:00,2023-05-10 09:12:00,0.0,3.0
2023-05-10 15:46:00,2023-05-10 15:46:00,0.0,4.0
2023-05-10 15:50:00,2023-05-10 15:50:00,0.0,3.0
2023-05-11 15:09:00,2023-05-11 15:09:00,0.0,3.0
2023-05-11 15:12:00,2023-05-11 15:12:00,0.0,3.0
2023-05-12 17:12:00,2023-05-12 17:12:00,0.0,3.0
2023-05-13 11:14:00,2023-05-13 11:14:00,0.0,2.0
2023-05-14 12:29:00,2023-05-14 12:29:00,0.0,3.0
2023-06-06 15:20:00,2023-06-06 15:20:00,0.0,3.0
2023-06-08 13:26:00,2023-06-08 13:27:00,1.0,2.0
2023-06-08 13:40:00,2023-06-08 13:40:00,0.0,3.0
2023-06-08 13:55:00,2023-06-08 13:55:00,0.0,3.0
2023-06-08 14:54:00,2023-06-08 14:55:00,1.0,3.0
2023-06-08 15:59:00,2023-06-08 15:59:00,0.0,3.0
2023-06-10 15:06:00,2023-06-10 15:06:00,0.0,3.0
2023-06-10 15:09:00,2023-06-10 15:10:00,1.0,3.0
2023-06-12 12:36:00,2023-06-12 12:37:00,1.0,2.0
2023-06-12 12:39:00,2023-06-12 12:40:00,1.0,2.0
2023-06-12 12:42:00,2023-06-12 12:43:00,1.0,2.0
