Variable_1,Variable_2,Pearson_r,Spearman_rho,Distance_Corr,Pearson_Spearman_Gap,Involves_Target
03PDI_1077.PV,03PIC_1068.PV,-0.6187,-0.2423,0.6471,0.3764,False
02FI_1000.PV,03PIC_1068.PV,-0.7124,-0.3697,0.715,0.3427,False
03PDI_1020.PV,03PDI_1077.PV,0.8628,0.5424,0.8381,0.3204,False
03PDI_1077.PV,03TIC_1145.PV,-0.5956,-0.3783,0.5862,0.2173,False
03PDI_1020.PV,03PIC_1068.PV,-0.7883,-0.5955,0.77,0.1928,False
02FI_1000.PV,03PDI_1077.PV,0.9022,0.7169,0.8819,0.1853,False
03PIC_1023.PV,03TIC_1009.PV,0.5019,0.3206,0.4587,0.1813,False
03PIC_1023.PV,03TI_1108.PV,0.4923,0.3159,0.4339,0.1764,False
03PIC_1068.PV,03TIC_1145.PV,0.5508,0.3803,0.5233,0.1705,False
03TIC_1009.PV,03TI_1024.PV,0.5089,0.3396,0.4582,0.1693,False
03TI_1024.PV,03TI_1108.PV,0.4979,0.329,0.4324,0.1689,False
03PDI_1077.PV,03PIC_1013.PV,0.2297,0.0648,0.3344,0.1649,False
03TI_1015.PV,03TI_1108.PV,0.4908,0.326,0.4205,0.1648,False
03PIC_1023.PV,03TI_1081.PV,0.6964,0.5329,0.6241,0.1635,False
03TIC_1009.PV,03TI_1015.PV,0.5057,0.346,0.4491,0.1597,False
03FIC_1085.PV,03PDI_1020.PV,0.2647,0.419,0.395,0.1543,False
02FI_1000.PV,03TIC_1145.PV,-0.6893,-0.5356,0.668,0.1537,False
03TIC_1023.PV,03TI_1108.PV,0.5411,0.391,0.481,0.1501,True
03PDI_1020.PV,03TIC_1145.PV,-0.7044,-0.5572,0.6693,0.1472,False
03TI_1024.PV,03TI_1081.PV,0.7001,0.558,0.6275,0.1421,False
03PDI_1020.PV,03TI_1005.PV,0.0361,0.1761,0.1362,0.14,False
03TIC_1009.PV,03TIC_1023.PV,0.5588,0.4212,0.5159,0.1376,True
03PDI_1020.PV,03TI_1002.PV,0.0585,0.1942,0.1431,0.1357,False
03TI_1005.PV,03TI_1108.PV,0.5167,0.3882,0.4841,0.1285,False
03PIC_1068.PV,03PI_1409.PV,0.5711,0.6973,0.6171,0.1262,False
03TI_1081.PV,03TI_1108.PV,0.566,0.4408,0.5331,0.1252,False
03TIC_1145.PV,03TI_1015.PV,-0.079,-0.2041,0.2065,0.1251,False
02FI_1000.PV,03PDI_1020.PV,0.9759,0.8515,0.9635,0.1244,False
03FIC_1085.PV,03TI_1081.PV,0.4556,0.5798,0.5492,0.1242,False
03PIC_1023.PV,03TI_1005.PV,0.4763,0.3562,0.4716,0.1201,False
03TI_1015.PV,03TI_1081.PV,0.7038,0.5847,0.6326,0.1191,False
03TIC_1023.PV,03TIC_1145.PV,-0.091,-0.2098,0.2061,0.1188,True
03TIC_1023.PV,03TI_1081.PV,0.7288,0.6119,0.6698,0.1169,True
03TI_1002.PV,03TI_1108.PV,0.4517,0.3361,0.4293,0.1156,False
03TI_1005.PV,03TI_1024.PV,0.4715,0.3591,0.4624,0.1124,False
03TIC_1145.PV,03TI_1024.PV,-0.0553,-0.1668,0.1778,0.1115,False
03TI_1005.PV,03TI_1015.PV,0.4617,0.3514,0.4474,0.1103,False
03TI_1005.PV,03TI_1081.PV,0.529,0.4224,0.5305,0.1066,False
03TIC_1009.PV,03TI_1081.PV,0.5711,0.465,0.5533,0.1061,False
03PIC_1023.PV,03TI_1002.PV,0.4274,0.3224,0.4314,0.105,False
03FIC_1085.PV,03PIC_1068.PV,-0.3263,-0.4284,0.415,0.1021,False
03TI_1002.PV,03TI_1015.PV,0.4085,0.3121,0.4041,0.0964,False
03TI_1002.PV,03TI_1024.PV,0.4197,0.3234,0.4203,0.0963,False
03PDI_1020.PV,03TI_1081.PV,0.4416,0.5377,0.5479,0.0961,False
03TI_1002.PV,03TI_1081.PV,0.47,0.3747,0.4746,0.0953,False
02FI_1000.PV,03FIC_1085.PV,0.2055,0.3007,0.3336,0.0952,False
03PDI_1077.PV,03PI_1409.PV,0.2074,0.2996,0.2826,0.0922,False
