Column,Nulls_Before_Reindex,Nulls_After_FFill,Remaining_Null_Pct
03TI_1002.PV,3041,96033,4.5459
02FI_1000.PV,669,93391,4.4208
03FIC_1085.PV,315,93016,4.4031
03PDI_1020.PV,8,93011,4.4028
03LIC_1016.PV,8,93011,4.4028
03PIC_1023.PV,8,93011,4.4028
03PIC_1068.PV,8,93011,4.4028
03PI_1409.PV,7,93011,4.4028
03PIC_1013.PV,11,93011,4.4028
03TIC_1009.PV,4,93011,4.4028
03TIC_1023.PV,4,93011,4.4028
03TIC_1145.PV,11,93011,4.4028
03TI_1005.PV,5,93011,4.4028
03TI_1015.PV,4,93011,4.4028
03TI_1024.PV,4,93011,4.4028
03TI_1081.PV,5,93011,4.4028
03TI_1108.PV,8,93011,4.4028
