Tag,Description,PV_LOW,PV_HIGH,EXT_LOW,EXT_HIGH,Total_Rows,Normal_Crossed,Normal_Crossed_Pct,Extreme_Breached,Extreme_Breached_Pct
03TI_1108.PV,3C105 BOTTOM O/L TEMP,-20.0,100.0,-23.0,109.375,2019213,0,0.0,0,0.0
03TI_1002.PV,3C114 TEMP,0.0,100.0,-2.5,106.25,2016180,0,0.0,0,0.0
03TIC_1009.PV,3E102 O/L TO 3C105 TEMP,-20.0,100.0,,,2019217,0,0.0,0,0.0
03LIC_1016.PV,3E104 LEVEL,0.0,100.0,,,2019213,6,0.000297,0,0.0
03TI_1005.PV,3E102 TUBE I/L TEMP,0.0,100.0,-2.5,106.25,2019216,0,0.0,0,0.0
03PIC_1023.PV,C3 3E104 TO 3C107 PRES,0.0,12.0,,,2019213,0,0.0,0,0.0
03TI_1015.PV,C3 I/L TO 3E104 TEMP T/C,-75.0,100.0,-79.37,110.94,2019217,0,0.0,0,0.0
03PDI_1020.PV,DP ACROSS 3E104,0.0,600.0,-15.0,637.5,2019213,2,9.9e-05,0,0.0
03PI_1409.PV,3C101 GAS TO 3C111 PRES,0.0,35.0,-0.875,37.187,2019214,0,0.0,0,0.0
03TIC_1023.PV,3C101 OVHD TO 3V101 TEMP,0.0,60.0,,,2019217,0,0.0,0,0.0
03TI_1024.PV,3C101 I/L TEMP,0.0,100.0,-2.5,106.25,2019217,2,9.9e-05,0,0.0
03LIC_1034.PV,3C101 H/C LEVEL,0.0,100.0,,,2019217,4,0.000198,0,0.0
03TI_1081.PV,3E107 TUBE O/L TEMP,-50.0,100.0,-53.75,109.38,2019216,0,0.0,0,0.0
03PDI_1077.PV,DP ACROSS 3E107,0.0,1.0,-0.025,1.0625,2019209,194,0.009608,0,0.0
03PIC_1068.PV,3C102 OVHD PRES,0.0,40.0,,,2019213,0,0.0,0,0.0
03FIC_1085.PV,3G112/A DISCH FLW,0.0,451.5,,,2018906,0,0.0,0,0.0
03TIC_1145.PV,3K101 2ND SUC TEMP T/C,-50.0,100.0,,,2019210,0,0.0,0,0.0
03PIC_1013.PV,3K101 1ST STAG SUC PRES,0.0,300.0,,,2019210,279708,13.852348,0,0.0
02FI_1000.PV,TRAIN 1 FEED,0.0,10.0,0.0,10.0,2018552,0,0.0,0,0.0
