Alarm_Start,Alarm_End,Duration_Minutes,Duration_Bucket
2022-04-14 13:10:00,2022-04-14 16:12:00,182.0,60+ min (sustained events)
2022-05-23 14:12:00,2022-05-23 18:16:00,244.0,60+ min (sustained events)
2022-05-30 13:39:00,2022-05-30 16:29:00,170.0,60+ min (sustained events)
2022-05-31 12:52:00,2022-05-31 15:18:00,146.0,60+ min (sustained events)
2022-06-01 14:26:00,2022-06-01 16:58:00,152.0,60+ min (sustained events)
2022-06-02 13:49:00,2022-06-02 17:04:00,195.0,60+ min (sustained events)
2022-06-03 11:44:00,2022-06-03 17:14:00,330.0,60+ min (sustained events)
2022-06-04 11:49:00,2022-06-04 17:21:00,332.0,60+ min (sustained events)
2022-06-05 11:44:00,2022-06-05 18:03:00,379.0,60+ min (sustained events)
2022-06-06 10:13:00,2022-06-06 18:41:00,508.0,60+ min (sustained events)
2022-06-07 11:38:00,2022-06-07 18:47:00,429.0,60+ min (sustained events)
2022-06-08 10:10:00,2022-06-08 17:48:00,458.0,60+ min (sustained events)
2022-06-09 10:18:00,2022-06-09 18:20:00,482.0,60+ min (sustained events)
2022-06-10 09:35:00,2022-06-10 17:18:00,463.0,60+ min (sustained events)
2022-06-19 11:17:00,2022-06-19 18:39:00,442.0,60+ min (sustained events)
2022-06-20 12:06:00,2022-06-20 17:47:00,341.0,60+ min (sustained events)
2022-06-21 08:45:00,2022-06-21 14:39:00,354.0,60+ min (sustained events)
2022-06-21 15:40:00,2022-06-21 17:05:00,85.0,60+ min (sustained events)
2022-06-22 11:48:00,2022-06-22 17:53:00,365.0,60+ min (sustained events)
2022-06-23 10:01:00,2022-06-23 17:00:00,419.0,60+ min (sustained events)
2022-06-24 10:36:00,2022-06-24 18:21:00,465.0,60+ min (sustained events)
2022-06-25 12:00:00,2022-06-25 17:49:00,349.0,60+ min (sustained events)
2022-06-26 10:43:00,2022-06-26 17:15:00,392.0,60+ min (sustained events)
2022-06-30 13:22:00,2022-06-30 15:38:00,136.0,60+ min (sustained events)
2022-07-01 13:04:00,2022-07-01 18:14:00,310.0,60+ min (sustained events)
2022-07-02 13:46:00,2022-07-02 16:15:00,149.0,60+ min (sustained events)
2022-07-03 11:54:00,2022-07-03 15:33:00,219.0,60+ min (sustained events)
2022-07-04 11:26:00,2022-07-04 15:47:00,261.0,60+ min (sustained events)
2022-07-14 11:41:00,2022-07-14 17:00:00,319.0,60+ min (sustained events)
2022-07-15 10:48:00,2022-07-15 17:18:00,390.0,60+ min (sustained events)
2022-07-17 13:23:00,2022-07-17 18:12:00,289.0,60+ min (sustained events)
2022-07-18 12:18:00,2022-07-18 18:22:00,364.0,60+ min (sustained events)
2022-07-19 14:21:00,2022-07-19 16:54:00,153.0,60+ min (sustained events)
2022-07-21 13:13:00,2022-07-21 18:49:00,336.0,60+ min (sustained events)
2022-07-22 11:41:00,2022-07-22 18:23:00,402.0,60+ min (sustained events)
2022-07-23 12:32:00,2022-07-23 17:05:00,273.0,60+ min (sustained events)
2022-07-24 11:42:00,2022-07-24 17:40:00,358.0,60+ min (sustained events)
2022-07-25 13:14:00,2022-07-25 16:39:00,205.0,60+ min (sustained events)
2022-07-30 15:06:00,2022-07-30 18:09:00,183.0,60+ min (sustained events)
2022-07-31 12:39:00,2022-07-31 19:09:00,390.0,60+ min (sustained events)
2022-08-01 11:29:00,2022-08-01 16:32:00,303.0,60+ min (sustained events)
2022-08-02 12:24:00,2022-08-02 18:47:00,383.0,60+ min (sustained events)
2022-08-03 10:25:00,2022-08-03 17:27:00,422.0,60+ min (sustained events)
2022-08-04 13:21:00,2022-08-04 17:23:00,242.0,60+ min (sustained events)
2022-08-07 10:41:00,2022-08-07 18:45:00,484.0,60+ min (sustained events)
2022-08-08 10:26:00,2022-08-08 18:32:00,486.0,60+ min (sustained events)
2022-08-09 12:12:00,2022-08-09 17:46:00,334.0,60+ min (sustained events)
2022-08-10 11:49:00,2022-08-10 18:19:00,390.0,60+ min (sustained events)
2022-08-11 11:24:00,2022-08-11 17:53:00,389.0,60+ min (sustained events)
